symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2023-03-08 05:00:00+00:00,234.47,241.97,234.29,241.84,668719.0,8937.0,238.654516
NVDA,2023-03-09 05:00:00+00:00,241.84,244.5,233.89,234.47,744181.0,10223.0,238.956928
NVDA,2023-03-10 05:00:00+00:00,234.02,236.25,227.29,229.71,799957.0,10432.0,230.836758
NVDA,2023-03-13 04:00:00+00:00,227.405,232.77,223.12,229.62,620573.0,9786.0,228.96915
NVDA,2023-03-14 04:00:00+00:00,235.04,242.14,234.735,240.53,799344.0,12178.0,239.092116
NVDA,2023-03-15 04:00:00+00:00,237.53,242.79,233.65,242.3,813862.0,13036.0,238.104323
NVDA,2023-03-16 04:00:00+00:00,240.09,255.87,238.98,255.51,1127916.0,20539.0,249.196119
NVDA,2023-03-17 04:00:00+00:00,259.635,263.98,256.7,257.24,1075100.0,16034.0,259.727105
NVDA,2023-03-20 04:00:00+00:00,256.21,260.18,251.38,258.89,580473.0,8305.0,257.009533
NVDA,2023-03-21 04:00:00+00:00,261.69,263.88,253.82,261.83,1147478.0,15527.0,259.852469
NVDA,2023-03-22 04:00:00+00:00,264.24,275.88,262.5,264.7,1074474.0,15531.0,270.194095
NVDA,2023-03-23 04:00:00+00:00,271.19,274.98,266.93,271.96,738243.0,12815.0,271.872454
NVDA,2023-03-24 04:00:00+00:00,270.2,271.59,263.57,267.82,688886.0,12028.0,266.308377
NVDA,2023-03-27 04:00:00+00:00,268.32,269.91,263.65,265.32,437625.0,6500.0,266.422454
NVDA,2023-03-28 04:00:00+00:00,264.69,265.1,258.5,264.08,527296.0,7403.0,261.46132
NVDA,2023-03-29 04:00:00+00:00,268.49,270.67,266.2,269.9,478855.0,7023.0,269.103386
NVDA,2023-03-30 04:00:00+00:00,272.275,274.99,271.07,273.96,424250.0,6047.0,273.369461
NVDA,2023-03-31 04:00:00+00:00,271.33,278.31,271.05,277.825,698549.0,10368.0,275.755482
NVDA,2023-04-03 04:00:00+00:00,275.09,280.0,273.45,279.665,486769.0,8286.0,276.980516
NVDA,2023-04-04 04:00:00+00:00,279.77,279.85,273.09,274.68,561101.0,8438.0,276.094358
NVDA,2023-04-05 04:00:00+00:00,268.01,269.94,263.95,268.78,681739.0,11360.0,266.74767
NVDA,2023-04-06 04:00:00+00:00,265.92,270.8,264.36,270.3,698341.0,10998.0,268.731527
NVDA,2023-04-10 04:00:00+00:00,268.09,276.18,266.74,275.895,494785.0,7903.0,272.320139
NVDA,2023-04-11 04:00:00+00:00,277.17,277.75,271.295,271.66,431883.0,7693.0,273.204812
NVDA,2023-04-12 04:00:00+00:00,273.6,274.56,264.49,264.99,674993.0,12018.0,267.418556
NVDA,2023-04-13 04:00:00+00:00,267.28,268.825,263.34,264.6,635560.0,9772.0,266.62113
NVDA,2023-04-14 04:00:00+00:00,265.04,268.78,262.22,267.6,534425.0,8978.0,265.519312
NVDA,2023-04-17 04:00:00+00:00,265.6,270.02,264.4,269.99,334025.0,5589.0,267.426129
NVDA,2023-04-18 04:00:00+00:00,275.305,281.06,273.58,276.62,684763.0,11707.0,277.773238
NVDA,2023-04-19 04:00:00+00:00,273.53,280.0,272.4,279.38,414997.0,7377.0,277.380182
NVDA,2023-04-20 04:00:00+00:00,276.67,280.26,270.03,271.06,599851.0,10958.0,275.182661
NVDA,2023-04-21 04:00:00+00:00,269.545,271.82,267.32,271.27,347464.0,6225.0,269.913777
NVDA,2023-04-24 04:00:00+00:00,270.175,273.65,266.78,270.38,317216.0,5444.0,270.008908
NVDA,2023-04-25 04:00:00+00:00,270.77,272.34,262.26,262.27,485385.0,7734.0,265.751027
NVDA,2023-04-26 04:00:00+00:00,270.02,273.24,267.1,269.58,532243.0,9871.0,270.312502
NVDA,2023-04-27 04:00:00+00:00,273.415,274.94,266.345,272.17,539086.0,9403.0,269.994964
NVDA,2023-04-28 04:00:00+00:00,272.68,277.55,270.765,277.44,464267.0,9290.0,274.337568
NVDA,2023-05-01 04:00:00+00:00,278.5,290.51,277.89,289.05,756640.0,11398.0,285.857226
NVDA,2023-05-02 04:00:00+00:00,286.74,288.23,280.85,282.065,488270.0,8578.0,283.647967
NVDA,2023-05-03 04:00:00+00:00,278.21,283.58,274.74,278.02,668604.0,10563.0,278.971639
NVDA,2023-05-04 04:00:00+00:00,276.52,278.465,272.46,275.59,609414.0,9062.0,275.510273
NVDA,2023-05-05 04:00:00+00:00,278.41,287.505,277.325,286.8,455333.0,7018.0,284.225404
NVDA,2023-05-08 04:00:00+00:00,285.24,292.17,283.655,291.5,493368.0,6741.0,288.465324
NVDA,2023-05-09 04:00:00+00:00,288.74,289.7,284.52,285.79,402345.0,5978.0,286.369122
NVDA,2023-05-10 04:00:00+00:00,290.155,290.99,284.665,288.74,503206.0,8138.0,288.686848
NVDA,2023-05-11 04:00:00+00:00,289.295,289.37,282.46,285.81,490051.0,5836.0,285.299077
NVDA,2023-05-12 04:00:00+00:00,285.36,287.74,280.56,283.36,320809.0,5060.0,283.705074
NVDA,2023-05-15 04:00:00+00:00,285.07,289.65,281.63,289.56,335578.0,5843.0,286.561523
NVDA,2023-05-16 04:00:00+00:00,288.47,298.7,288.47,292.08,666197.0,10962.0,294.84921
NVDA,2023-05-17 04:00:00+00:00,295.83,301.99,294.49,301.83,539831.0,9335.0,298.53448
NVDA,2023-05-18 04:00:00+00:00,304.31,318.27,303.345,316.72,751990.0,14620.0,313.219205
NVDA,2023-05-19 04:00:00+00:00,314.89,315.73,309.2,312.65,673789.0,15596.0,312.384415
NVDA,2023-05-22 04:00:00+00:00,309.095,315.14,306.82,311.8,511126.0,8805.0,311.867865
NVDA,2023-05-23 04:00:00+00:00,310.08,312.63,306.35,306.95,440889.0,7769.0,309.21393
NVDA,2023-05-24 04:00:00+00:00,302.115,306.02,298.07,305.46,986611.0,18542.0,301.459391
NVDA,2023-05-25 04:00:00+00:00,385.45,394.75,366.35,379.57,3738908.0,52094.0,381.552238
NVDA,2023-05-26 04:00:00+00:00,378.66,391.67,375.62,389.24,1299157.0,18964.0,384.131121
NVDA,2023-05-30 04:00:00+00:00,405.97,419.34,399.5,401.22,2107942.0,33697.0,407.676352
NVDA,2023-05-31 04:00:00+00:00,394.21,402.8,378.23,378.615,1822701.0,30725.0,386.693875
NVDA,2023-06-01 04:00:00+00:00,384.53,400.35,383.4,397.78,1050892.0,19287.0,392.402386
NVDA,2023-06-02 04:00:00+00:00,400.94,405.0,390.74,393.3,676680.0,14547.0,396.130087
NVDA,2023-06-05 04:00:00+00:00,389.09,395.64,387.16,391.7,1107794.0,14512.0,390.726256
NVDA,2023-06-06 04:00:00+00:00,388.27,391.45,381.48,386.62,383106.0,6931.0,387.106562
NVDA,2023-06-07 04:00:00+00:00,389.01,394.92,373.58,374.89,618837.0,11568.0,383.448257
NVDA,2023-06-08 04:00:00+00:00,377.275,388.62,375.08,384.99,613014.0,15043.0,383.576647
NVDA,2023-06-09 04:00:00+00:00,390.505,396.99,385.78,387.79,592893.0,10801.0,391.134466
NVDA,2023-06-12 04:00:00+00:00,391.87,395.23,386.25,394.91,874260.0,18870.0,389.785419
NVDA,2023-06-13 04:00:00+00:00,401.81,410.99,397.55,410.3,747400.0,12772.0,405.311623
NVDA,2023-06-14 04:00:00+00:00,408.41,430.0,405.59,429.82,1180129.0,20365.0,419.661758
NVDA,2023-06-15 04:00:00+00:00,426.33,432.71,421.54,426.56,831757.0,24186.0,427.588005
NVDA,2023-06-16 04:00:00+00:00,435.0,437.17,426.63,427.01,973093.0,24101.0,432.736402
NVDA,2023-06-20 04:00:00+00:00,429.88,439.885,426.86,438.25,637396.0,17028.0,431.906723
NVDA,2023-06-21 04:00:00+00:00,435.11,436.09,420.87,430.42,749660.0,12720.0,427.807592
NVDA,2023-06-22 04:00:00+00:00,422.475,434.22,422.475,430.22,943056.0,10775.0,429.784948
NVDA,2023-06-23 04:00:00+00:00,424.58,428.03,420.22,422.07,402884.0,8839.0,423.922387
NVDA,2023-06-26 04:00:00+00:00,424.73,427.5,401.03,406.37,893741.0,15593.0,413.350355
NVDA,2023-06-27 04:00:00+00:00,408.21,419.39,404.59,418.67,558116.0,9679.0,411.743426
NVDA,2023-06-28 04:00:00+00:00,406.51,418.35,405.29,411.45,781815.0,13365.0,411.953557
NVDA,2023-06-29 04:00:00+00:00,415.49,415.895,406.03,408.33,405497.0,7574.0,409.59597
NVDA,2023-06-30 04:00:00+00:00,416.69,425.47,415.13,422.89,462731.0,8894.0,422.019914
NVDA,2023-07-03 04:00:00+00:00,425.27,428.97,422.06,423.905,300069.0,7433.0,425.31717
NVDA,2023-07-05 04:00:00+00:00,421.0,431.74,421.0,423.1,358578.0,6399.0,426.968667
NVDA,2023-07-06 04:00:00+00:00,418.24,421.76,413.51,421.13,444806.0,10428.0,417.729064
NVDA,2023-07-07 04:00:00+00:00,423.23,432.07,421.89,425.05,347415.0,7671.0,427.678748
NVDA,2023-07-10 04:00:00+00:00,426.775,427.95,416.56,421.75,508442.0,10523.0,421.542431
NVDA,2023-07-11 04:00:00+00:00,424.935,427.33,420.72,423.91,405473.0,10302.0,423.888263
NVDA,2023-07-12 04:00:00+00:00,430.015,439.34,428.26,439.04,549843.0,11872.0,435.869789
NVDA,2023-07-13 04:00:00+00:00,445.58,461.12,445.13,459.95,726651.0,14763.0,451.987414
NVDA,2023-07-14 04:00:00+00:00,465.94,480.23,450.7,454.665,1020674.0,21913.0,467.643015
NVDA,2023-07-17 04:00:00+00:00,462.84,464.9,452.69,464.61,798719.0,12689.0,458.812572
NVDA,2023-07-18 04:00:00+00:00,467.065,478.81,457.38,475.03,734784.0,12001.0,468.047219
NVDA,2023-07-19 04:00:00+00:00,474.81,478.14,467.52,470.8,724521.0,10747.0,471.260915
NVDA,2023-07-20 04:00:00+00:00,465.11,470.76,450.73,455.435,920803.0,14076.0,459.599261
NVDA,2023-07-21 04:00:00+00:00,457.9,458.18,441.54,443.32,1345260.0,19829.0,447.905729
NVDA,2023-07-24 04:00:00+00:00,447.185,451.025,440.41,446.14,513216.0,10655.0,446.031347
NVDA,2023-07-25 04:00:00+00:00,449.46,461.76,449.325,456.58,427696.0,9797.0,457.680343
NVDA,2023-07-26 04:00:00+00:00,460.12,460.24,446.34,454.51,522687.0,11554.0,453.073156
NVDA,2023-07-27 04:00:00+00:00,465.085,473.93,457.73,459.0,613164.0,13285.0,466.778676
NVDA,2023-07-28 04:00:00+00:00,466.63,470.15,464.23,467.44,328235.0,7213.0,467.009564
NVDA,2023-07-31 04:00:00+00:00,467.54,471.17,465.12,467.4,317465.0,11681.0,467.381619
NVDA,2023-08-01 04:00:00+00:00,464.41,468.94,460.51,465.125,290430.0,8739.0,465.180503
NVDA,2023-08-02 04:00:00+00:00,458.09,458.18,433.87,442.97,780036.0,20142.0,445.707031
NVDA,2023-08-03 04:00:00+00:00,438.19,450.86,438.19,445.18,288653.0,6741.0,446.073457
NVDA,2023-08-04 04:00:00+00:00,449.99,456.36,444.1,446.84,346827.0,8186.0,450.181464
NVDA,2023-08-07 04:00:00+00:00,451.18,455.34,445.7,454.12,223109.0,5868.0,450.927258
NVDA,2023-08-08 04:00:00+00:00,448.645,452.12,440.57,446.58,333756.0,8196.0,446.451775
NVDA,2023-08-09 04:00:00+00:00,442.77,443.11,421.62,425.61,608331.0,11983.0,429.343796
NVDA,2023-08-10 04:00:00+00:00,421.52,435.67,418.35,423.84,547580.0,13017.0,426.628392
NVDA,2023-08-11 04:00:00+00:00,417.41,420.17,406.39,408.5,1135720.0,20852.0,411.883167
